infections_H,infections_C,infections_L,hospital_H,hospital_C,hospital_L,deaths_H,deaths_C,deaths_L,peak_beds_H,peak_beds_C,peak_beds_L
1.387569944773895e6,2.0106710642376272e6,2.7329419904919816e6,81605.32980117705,103751.59765489437,128925.75810996052,11468.410405856008,15246.265151228665,20059.4625762782,12903.988998521816,21074.37543275945,33477.70000428653
1.1008050713018116e6,1.77019460314293e6,2.5671323415172696e6,58573.62881675858,82210.76526668297,109025.22692421514,7967.999373703338,11766.227227229861,16665.93062175006,7306.437576778006,14508.97662986899,26414.58767157409
800564.7727838954,1.5125656220772087e6,2.392777595761486e6,37151.23912620755,61657.42901436219,89770.12986742308,4885.262337757899,8579.748973137983,13465.74462146256,3369.0449359308773,9111.330798853813,20045.998472570373
433139.50078299537,1.234495830899255e6,2.2080655396103864e6,16552.926159357492,42553.14416377897,71316.12406572697,2018.8134200397385,5750.93921024456,10484.288064738226,1113.9220484197933,5001.556302340503,14486.595636533692
70521.71760398835,931660.0161039805,2.0107407759154593e6,1950.1252948320807,25585.702394821317,53871.90556271942,221.37811098887954,3353.2687973330253,7752.415631758781,171.39501367241905,2232.4623760209547,9770.015497731569
11780.489115349126,536249.2659127407,1.7980637498625566e6,188.98097294531848,10617.493604518095,37721.57149823685,22.811933974199682,1297.23662794859,5308.169825045502,11.209833257455221,714.6388898284039,5965.644290168033
1.0055503367464287e6,1.6810726835541413e6,2.489730802734909e6,68659.50826814816,94795.65537229709,123588.0658462746,9005.939116640557,13261.272329751502,18653.786187609345,9140.798996160243,17747.993913387265,31030.051804768445
669963.7568269646,1.4003946940794094e6,2.2981018390406393e6,42877.96236691283,72109.78927329365,103335.94347962365,5330.874776701743,9716.214572643008,15241.822889734129,3854.160458384452,11226.371658317054,23945.613247867248
174988.21019648373,1.092422756616747e6,2.0949379841376261e6,10505.984358874468,50260.41163931895,83788.57082240266,1115.4322858730554,6490.1661918319605,12050.811543312859,736.9065675128797,6033.487294115046,17643.024642913773
5282.570009665512,739812.3533247673,1.877294742245969e6,276.92164338978165,29474.42758139058,65137.365543599975,30.179663182629433,3609.5907005118556,9112.277770443285,9.469347144437437,2370.490777107523,12195.258977090865
1418.6156773738428,154894.49249915307,1.6411178493494133e6,61.26683614081202,5187.035601369971,47648.890810492594,6.9151989117274315,541.8643927271884,6465.137900944282,1.6202101322556663,396.07914278662366,7697.900519485298
692.1716635775373,7158.305207802107,1.3806744753716236e6,21.03168957474406,177.4288374531358,31705.823895179587,2.4365208039224506,19.33667042240335,4158.793541123824,0.5359900268342785,6.067186495995992,4221.069601642357
1.1534716435574268e6,1.7800127845058695e6,2.5304843622348015e6,67802.0343782417,91427.40893364635,118489.27587251768,9099.25118868187,12856.139812408936,17694.120917679968,8267.788609265137,15357.450602976383,26845.90091914825
841986.6008254698,1.518192554843815e6,2.3506180454579648e6,44873.065977407685,70261.71146430034,99137.44044794454,5809.1115017978145,9610.738241576479,14530.695608632854,3967.6283359225613,9883.128602265848,20660.027074341502
412667.2003630295,1.2350121236817983e6,2.1601929854728305e6,19495.58537216843,50227.25959648499,80527.83887082424,2285.298436053197,6671.093997620867,11570.649516973173,1313.7090528209308,5597.359844390157,15210.194910345075
38301.9270263078,918622.9581998462,1.9569585743513955e6,1482.2081420911732,31656.478074268638,62844.15732327029,164.21699373800578,4058.3613914269126,8840.78280524173,113.30673096418411,2582.2886715356362,10556.64866560516
5867.539940786792,426522.17792920565,1.7381147280680228e6,166.06359420318685,11912.532232825079,46334.79566317106,19.588988487204208,1371.7061380144955,6374.110205786061,6.682667707294507,825.0290626241923,6748.178645204083
2325.952407265102,47565.84766282682,1.5002431695316688e6,41.10429472532213,950.7256233959858,31340.1236871225,5.032830873604765,105.53666552226868,4211.750648252627,1.2534202146761981,72.69262448371292,3822.1831035052082
785923.3020559775,1.455881763753823e6,2.286840294734035e6,53581.360641413885,81673.21315414857,112675.18575041584,6700.170874012632,10920.723123879337,16303.601063826201,5209.5286167195945,12424.590562521631,24544.416060237378
359327.87851983175,1.1549853646407283e6,2.081568987571072e6,23297.645697637992,59231.62514190844,92946.69415736727,2611.85904530844,7619.109010878301,13129.601912504197,1498.5739850571658,7106.392868547487,18396.24649863733
13138.260887313845,817942.0502170125,1.862754790794051e6,787.2513289360033,37554.93229820615,74021.68741284694,83.39771103236019,4609.975788911191,10185.726673293702,39.0188584369449,3169.5602254078176,13030.92479999263
2119.63856391425,281437.01415753894,1.626906067460182e6,112.14338281663323,11413.973701916897,56120.48273094047,12.428136761251656,1218.4353245925674,7504.005655297203,3.0889886706591656,784.9073461808428,8537.36486123838
936.2887953510195,12606.991528368562,1.3691809492921778e6,41.16443786507822,419.0149669920997,39551.30130677017,4.680421341218991,44.73034700894046,5124.272482450821,1.0603967131598173,18.317241001770917,4980.00733147108
522.1900115149181,2880.7576147654813,1.0818607021085396e6,16.293186211223716,71.85234710120129,24742.985019240707,1.893980758530857,7.9629379248738195,3094.0279513752616,0.4115994203524953,1.9791723824802765,2405.6740435628512
